,sha,author,filename,status,pr_review_count
221880,1bf3472ef72e480412cd440933f4cd0795c6467b,disler,README.md,modified,0
279014,0cdec436c6644fb52f3e43d0b0cd5f0f041bdedd,c3rb3ru5d3d53c,src/controlflow/graph.rs,modified,0
279131,67f4dca7e47858d40c6ace4a84b0c4ae03aea66e,nick-youngblut,README.md,modified,0
279266,6b796928e1cbc62437653149c03d5ff098884615,gordon123,audiox_comfyui/README.md,added,0
279687,98abf3f551bfceaca46058e442dde3d2031e19f2,halilozel1903,app/src/main/java/com/halil/ozel/movieparadise/ui/detail/DetailActivity.java,modified,0
280019,6f535a3fca4ec3d42bc28d5f1f98963fd43765cf,Producdevity,src/app/admin/components/ApprovalCountBadge.tsx,added,0
280549,1ccc2d3eedb9b725d4eb9b632c06a05d53b4849f,SimonHalvdansson,app/src/main/java/com/simon/harmonichackernews/utils/FileDownloader.java,modified,0
280788,74901fc4ced5e1a7cc47697835f51f1e9b12b6fb,chezsmithy,docs/docs/customize/model-providers/top-level/bedrock.mdx,modified,0
280790,3b953a8dc64ac8ebec2f82e416666790ecdd5a41,SerCeMan,DEVELOPING.adoc,removed,0
281134,86a5a97bce42b91fe53dfc5b26a2339ce96353bf,fhunleth,docs/notes/WiFi-read-only-fs-setup.md,modified,0
281685,3cbb3191379041283e1fccab384ebe425e693bcf,levigross,base_delete_test.go,modified,0
281699,f80b43133c1cfc80e192f188cacbe010ae6ad812,koculu,src/ZoneTree/Segments/Disk/DiskSegment.cs,modified,0
281800,8190bffad3763881354a6d1b48ad577ef9eda150,rlancemartin,notebooks/agent.ipynb,modified,0
281807,fd2650d271508dffb4f1eb7bfd7f714fc3682dc9,Siyou-Li,eval/mrg_old2.py,modified,0
282181,d0c76a56042e74a701e280a071a5cbebaeb616ea,philhassey,x/exp/ast/inspect.go,added,0
282366,ca9473607b4943be3dfd015465633893fac3ab81,tomharmon,bifrost/app/blog/blogs/weights-and-biases/src.mdx,modified,0
278295,6faddebd9fb5af96b9236b5ed300a2b8dfddb5cd,Lea3D,generator.js,added,0
282383,5f2f54e29c11950ebd23f19e974686d041cefe54,harshavardhana,main.go,modified,0
278056,5cda816078825de0d9038785ea01f60ea9202e64,Fastbyte01,README.md,modified,0
277976,97a25d280bf97911384c1c54862aca21eac9879b,amaury1093,core/src/misc/mod.rs,modified,0
273769,8450880e66b8497033bbbc15bb6485f0a118fdd1,tomqin93,pkg/gateway/lwm2m/gatewaylwm2m.go,modified,0
273773,4a751211fb71b260a053983edaf70b4ca2bd0fdc,aryairani,unison-core/src/Unison/Project.hs,modified,0
273856,ee338c990e10c07d992544a9dd1929a098570a13,tananaev,openapi.yaml,modified,0
273881,48bd1ac6353b92af47874c71aabb5104e6be49ca,ErikBjare,gptme/logmanager.py,modified,0
274490,00ee0356b7dc9fa97f723214ff6b109b602903bc,mnsami,.github/workflows/ci.yml,added,0
274760,aba81e5a5c6061c33a0133e3eb6dbc07ea9f3e5b,lzell,Sources/AIProxy/Fal/FalFluxProKontextInputSchema.swift,added,0
275101,b31cbebd2b3f19475c2cbb6a8c6f28182de3e015,gustavoguichard,src/constructors.ts,modified,0
275847,398ad315a14065f9c5e3d492a2a5cb64d46571db,TiRizvanov,.gitignore,modified,0
275935,c88cb77a77cc81c1aebcb24187b63720ae5868da,leonardoms,lib/queue.c,modified,0
275938,357af5a5fbbda2effe409eead66ff65703d3aa1f,jinia91,libs/rest-kernel/src/main/kotlin/kr/cojiniaslog/shared/adapter/inbound/http/AuthUserId.kt,modified,0
275964,8da210fd64c25068482e2050bff82ff694a13f4a,cssjoe,tests/admin/class-util-content-debug-test.php,added,0
277122,d8283ce486ce51dc2bcc0c8fcc52ca84c013a937,deeptshukla,docs/Dockerfile-sbt-013,added,0
277520,b587ad2fd6dbd0cb20b286b2165ffb4f35f0c09d,buddhika,src/main/java/com/divudi/bean/pharmacy/GrnController.java,modified,0
277937,467a22e7fe7bb783aa6a47071c64c643a010f9cf,holdenmatt,package.json,modified,0
277949,486d2339a3a4fc9b8e643586cfae6dbb6b11c64c,wilx,tests/qt6messagehandler_test/main.cxx,modified,0
278052,62d899ea5063d8a8cb3d095a34d0942f60294aaa,wiktorlaskowski,index.css,modified,0
283590,d3532cde206c79026706ea5438fde2195fb2d1a5,homanp,package-lock.json,modified,0
283959,37f2da1e93f68ee3e9af6523d1f2d74166c58e25,kittenhoarder,javascript/web/README.md,added,0
284021,c55e5556dc157449591dab9c00723749d2b2342b,fkorotkov,internal/command/set/set.go,modified,0
288827,2a91395a112f22eb67397a5a5fd402a30f5f5e42,rezaakb,pinnstorch/data/dataloader/dataloader.py,modified,0
289039,875cdebb44b84e3812dc1f4915e5a9461aeae62c,samayo,README.md,modified,0
289281,47d188ac22c8f83513f7a20098ba98102044f52b,hackenbe,src/firestarter/CPUTopology.cpp,modified,0
289284,736aab3186ad20ec1532bb82d61857a44e353812,jjeff,src/index.ts,modified,0
289291,3e7bea4b34df1ad218e8854eef7f0677630851e2,alexthuth,AGENTS.md,added,0
289460,0e78a2875e392849d32244ca33e509d9527c63b4,Danilop95,scripts/pecu_release_selector.sh,modified,0
289745,3270deae415c3d72bb13428e10553a62ffeeeb24,patrick91,strawberry/cli/commands/upgrade/_run_codemod.py,modified,0
289769,0c8712e45617c8e4cab29f3de001cbb76af24fbf,thesimonho,lua/kanagawa-paper/groups/plugins/telescope.lua,modified,0
290038,9a6f7b8c3e7c1319dc3eb2db5f8374a4659d505a,truskovskiyk,no-ocr-api/tests/test_ingest_search.py,added,0
291558,8a513e5f1c3d1577dfe10c37e2bbc98f3a1840d8,olsonbd,docker-compose.yaml,renamed,0
292000,43b081deb65d7bc84a7e22c6b3fb5dbc69624f59,xiaohk,src/components/PhrasePack/PhrasePack.scss,modified,0
292347,60e1724ad337ca0dd69cbeb3959673795804965b,benpetito,skyve-war/src/main/java/modules/admin/LoggingInterceptor.java,modified,0
292600,7218cf370187510b9274350fb03c7204be66c97d,depau,app/src/main/java/eu/depau/etchdroid/service/WorkerService.kt,modified,0
293096,f90b1a5750ae1ad7e876d8c9df37b7e4f17efe31,Sls0n,hooks/canvas-area-hooks/use-automatic-aspect-ratio-switcher.ts,modified,0
293807,dd7ece098790feaacc980b0972fd5671c3c00ed7,tgd,src/test/java/net/openhft/chronicle/bytes/domestic/ReentrantFileLockTest.java,modified,0
288578,2388482bb2a35a0b7a046d9fc4eb0e2d0f99f26e,lucasrodes,etl/command.py,modified,0
288569,843f13d9dd7eb9d01c3ecc98eb74e7b573b0aacb,grolu,backend/__tests__/watches.spec.js,modified,0
288517,cbfac1337ea7c6406943d82d79094adc372c80b8,DavidBelicza,README.md,modified,0
288468,7b72cb60e57cabaa7b64db6239af1ea2c10535e4,ogabrielluiz,src/backend/base/langflow/services/settings/__init__.py,modified,0
284088,35d09a9cf6d94777dd863583c22f4c8665292920,crawshaw,loop/agent.go,modified,0
284098,0c966a578e4efbc93ae79da5b45d9f2ea5974509,CymatiStatic,PomodoroWatchApp/.gitignore,added,0
284152,406b660c9bfd406eaa27f37ac7f9896cc9ca097e,cpu,WearTilesKotlin/.run/Messaging Tile.run.xml,modified,0
284276,b04ccdd29f1267bdd01ef7b9c2a2b6da9eb33781,storizzi,requirements.txt,modified,0
284287,d02674e47ba28cc2237a6642a05ce0a4de20bb39,arondeparon,.github/workflows/run-tests.yml,modified,0
284930,a157cb1ea253cb01df786180bff70853e6043b38,p1va,README.md,modified,0
285259,0d407fc4d03eca3ef4f6d2e0dfde5e74ec87f3e7,MervinPraison,src/praisonai-agents/praisonaiagents/agent/agent.py,modified,0
273738,ca522ecf0d51aa8855c19d8c373c46b003400347,syrusakbary,AGENTS.md,added,0
285281,fad2aa3bf871557be2f061d0d1a4808e3c1dc723,KKCorps,pinot-controller/src/main/resources/app/components/SimpleAccordion.tsx,modified,0
286508,ddfc3b8ea42a2e2ef499caf7c3f8e77983d42513,moonrailgun,.env.example,modified,0
286623,90ecdae59c676f9f013d36f7726f07cbb2e312e2,zhelezkov,packages/blinks-core/src/api/BlinkInstance/BlinkInstance.ts,modified,0
286849,7081bc6195cc47b2779e4518518d7b58f66a6ac8,nil0x42,integration/tests/integration_test.go,modified,0
286908,68df4489ec3fb43d80b6dec9f73357602622d57c,nilsreichardt,app/ios/Runner/Info.plist,modified,0
287141,67b3d06f17d4e9f1c8ff9dd356aa71260e81b6f7,kdroidFilter,src/commonMain/kotlin/com/kdroid/composetray/lib/windows/WindowsTrayManager.kt,modified,0
288346,b76654275514db71343c086947320ede6305dc4c,djacobs,apns.py,modified,0
288409,e22cd466f8e101a1d69a66def99a42c9977b6193,gbmksquare,README.md,modified,0
286437,eec33398f292bc0f29b35dbcc52b2f4a362ea160,alirezamika,autoscraper/auto_scraper.py,modified,0
293854,791820513dc81e08d298314a9d4258742484c927,aliev,.github/workflows/docs-publish.yml,modified,0
273715,e21ea46638d165ba34f7cf2a81e171bb5fef3991,imfing,exampleSite/content/docs/guide/deploy-site.ja.md,modified,0
273072,27ef38e781b52a1ec6ea49404033d6ed1f690d42,ford-downer-robo,roboflow/util/image_utils.py,modified,0
262431,443688909315ec11c8c02a5334a53879de809c71,lalalune,packages/core/__tests__/entities-extra.test.ts,added,0
262445,8b2ed5646643e50d58cd2490a4ba1086011aafde,MarvinJWendt,progressbar_printer_test.go,modified,0
262450,196c0a11af951a5891f094a2de2a911848e81fc4,johan-gorter,src/projector.ts,modified,0
262536,bf9980288d6015f01a609f83e3c58eb4962d3806,nullchinchilla,binaries/geph5-client/src/bw_accounting.rs,added,0
262603,a7e76088aaf970364e607470b3e9631f2528f723,tom-doerr,tests/test_predict.py,modified,0
262936,7959d2f9adf5c73a7200c2c93b4fd70bbf21404e,ahmadkhan100,src/runtime/config.py,modified,0
262954,27be8be41feb9d33c30632e88c836877556288c1,Habdel-Edenfield,docs/pt-br/03_usando_praisonai/03_usando_com_js_ts.md,modified,0
263105,3863ca30b317fdc88c2bdbbb4e06f6079b52cbfe,ramedina86,src/writer/auth.py,modified,0
263159,19aba5373ec2eb3ce46b2842d333728b925ff827,robertherber,apps/example/package.json,modified,0
263376,6dbd26e09d3f41d833c7f969e416d222b27d3c5f,almond-bongbong,README.md,modified,0
264027,abad880ea5f0a3ae8d6a56084b6b43ca93149f85,Namyujeong,scripts/_common.sh,modified,0
264051,59087a6badb805550aadd15ee599b6384557080b,huan,src/pure-functions/guard-qr-code-value.ts,modified,0
264292,94825730a8cf951aceadc1291b13e42cc71a4294,Jman-Github,README.md,modified,0
264296,8c6a880d1816973a4b030fbb4389d3a7f8cc0627,maxbbraun,README.md,modified,0
264415,74035a6677bc941d31caeaa164bdbea0db6a9c7a,ltwlf,README.md,modified,0
262397,8171ffb9b5e6d989a5994198b518edae9aaf7fc5,Photon-GitHub,src/test/java/de/photon/anticheataddition/util/minecraft/ping/PingProviderTest.java,added,0
264535,8342e236a4208eabe3cf52ed1c5e294deabbd5f6,helme,code/models/timeseries_utils.py,modified,0
262158,4536a8ffd190529600014bf01cc41e9f92b8c416,MitchTalmadge,entrypoint/main.sh,modified,0
261691,fc3f1850fb39da4054de35dbe8334357c24a0896,Art9681,hostinfo.go,modified,0
255235,01edef360e9d34668e753bc77b9eb964c9ca5ca5,Pistus,docs/content/docs/undocumented.md,added,0
255662,db2e6ea5e5d4f42e79a4e86430daf92a54ac97b2,ChaokunHong,app.py,modified,0
255758,cb4cbdc23533674730da6c6465fdb270902c09ad,ograce1421,autogpt_platform/frontend/src/components/agptui/composite/AgentsSection.tsx,modified,0
257134,e35f5132028c3b54b2d86ca79fe6b76a0d890535,AndrexB,CMakeLists.txt,modified,0
257241,05b6260ee3b34807f612ec062ad909761f4763ed,koalazf99,README.md,modified,0
258080,d052ad62a9123967dd7d4d83ac414dd90cd8da40,desaxce,requirements.txt,modified,0
258257,2300d16f97dd6ed1e7681f89c8c99eee0f81a245,nemtsov,lib/compiler.js,modified,0
258318,ad27997e1dc510ca30d123242c8f6b98a8d92a98,lollipopkit,android/app/src/main/AndroidManifest.xml,modified,0
258693,933014992a40758ca35e995e9d40ba68c84d072b,nguyenvanduocit,docs/gate-link.md,modified,0
258698,54ae24d57a0991ba18e19cd0de7d8454eff921e2,michaelmagan,package-lock.json,modified,0
258904,bb098f7cae74d3ce6cbed0ff0a4b91e19a693b15,zanieb,crates/uv/tests/it/sync.rs,modified,0
259142,160e0c7955e0124db773d6b93fd1821200ea070d,jamesros161,Cdn_SiteHealth.php,added,0
259198,ad89528dc70e7de8c002e31b0945b6b8b034cf8a,rodja,fly.dockerfile,modified,0
260408,093e4e1a5a39ab9531a83fb238a783c590967e67,vikash,pkg/gofr/container/container.go,modified,0
260788,222bf21057e4b6a79ea6ded721da1a2be796d76c,FrancescoBorzi,libs/features/conditions/src/edit-conditions/conditions.service.ts,modified,0
261716,d646116fd71cfd2a43d39b2eefab515f47a65872,ahmeda14960,src/levanter/main/eval_sliding_lm.py,modified,0
264827,1a3c45161b772ccce44957975cef17b93205c2dd,sunithvs,www/app/blogs/page.tsx,added,0
265071,e1282e6fdbe0809602a34b096d9448dee99bd374,vgcman16,bindings.sh,modified,0
265665,6944855feee4241de20783bbc22820cef965ec35,GuillemGuipo,package-lock.json,modified,0
270751,fbcab58b075899d9c6df3a0a123c16b0b8a548be,viplix3,botsort/include/TRT_InferenceEngine/TensorRT_InferenceEngine.h,modified,0
270784,b3dad0e481461aea2476956b76925b9875a55e81,MatanYadaev,API.md,modified,0
271074,0f5fc01ea64bb953cd38960b0e43b7a6755cd799,LuisRevillaM,docs/waterfall_epic_plan.md,added,0
271259,8f6904c788ed20471de50119c8d5b0f78116f83f,colebemis,docs/templates.md,modified,0
271422,5b2b59d9856ab4b52f57c7008c59d6cf39ed95f3,flexatone,static_frame/core/index_auto.py,modified,0
271609,59558c5e2d4f09eee02cfa3b6ae4b32b602f5d55,isaacOjeda,src/Application/Domain/DomainEvent.cs,modified,0
271663,ec039545f39415e938080ad7de4d2622596a80c1,YarivHashaiComet,apps/opik-backend/src/main/java/com/comet/opik/api/sorting/SortableFields.java,modified,0
271674,91963c54dbc4a670ecb363cd951bf77ab7e81125,HackingLZ,README.md,modified,0
271698,040d30419307ea90f74eaa3d6fd6dc0e450319f9,hazlamshamin,pylabrobot/thermocycling/backend.py,modified,0
271737,050e4bf4f29012276481192c5ba2fced25bf9029,evangelosmeklis,peepdb/db/mongodb.py,modified,0
272631,a0795bc689a51d1c96c561f3e70290e0241f4717,codyjlandstrom,cmd/namespace/list.go,modified,0
272788,c94b58d27ddfdf50e0e044d77c43ef3293052303,cpetersen,lib/candle/reranker.rb,modified,0
272841,6f56e29069921b9bad07a2204988d789fa1d5410,davegaeddert,plain/plain/internal/handlers/wsgi.py,modified,0
272878,34bb4fcd466fd0678316dbd82bfc8b5350d47b9b,deltabeard,README.md,modified,0
273058,766dd87ddd5a674040e6a09f0d61ed6f96b4f4ce,TheDZhon,README.md,modified,0
270582,ea3bc7614602b71bbe77d4ed3eb604e13d0b25f6,3ba2ii,src/__tests__/string-manipulation.helper.test.ts,added,0
