,sha_x,author_x,html_url_x,sha_y,author_y,html_url_y,filename-spec,user_created_at
32,bb3b95b48d23d9be8e51d722b34dc6cc0a146ec2,dcramer,https://github.com/getsentry/sentry-mcp/pull/242,4e3b1d43fd00b408a4f4386f59c146f821e40b5f,cursoragent,https://github.com/getsentry/sentry-mcp/pull/242,tools.spec.ts,2008-09-08T06:55:34Z
31,c18f1cd6b757132d1975488b21b68f35cbac3cb2,samwillis,https://github.com/TanStack/db/pull/198,564f211e256a630e3ffdf616d3a27bb8d7cf0181,cursoragent,https://github.com/TanStack/db/pull/198,collection.spec.ts,2008-10-26T17:26:19Z
24,a5f86ace553946a2e6a9910461eb18f09079e6b1,satococoa,https://github.com/giselles-ai/giselle/pull/994,ca881005536bc0572c1bf944e7459c934660fd0f,Copilot,https://github.com/giselles-ai/giselle/pull/994,query-github-vector-store.spec.ts,2008-10-28T14:39:20Z
55,3d74eff68b9bd9ed8f366b6a74b7bdbf7214b24b,joelrosario,https://github.com/specmatic/specmatic/pull/1922,73c14e75ac36c59e8c8929bba1d92d18478b4d0b,Copilot,https://github.com/specmatic/specmatic/pull/1922,,2009-03-14T09:35:53Z
7,ca6cd6a2f28d8b078e9370fb43958982c6fa9112,billyvg,https://github.com/getsentry/sentry/pull/93709,56e2d4de428b2cb982b8ed0ff42814608779e7b1,cursoragent,https://github.com/getsentry/sentry/pull/93709,version.spec.tsx,2009-04-30T19:34:28Z
6,960184d00cb1ba86d0da15e4b5f40db288b69581,BYK,https://github.com/getsentry/sentry/pull/94264,d073c3ef7f273090e4cda742ef426ec4840654bb,cursoragent,https://github.com/getsentry/sentry/pull/93946,index.spec.tsx,2009-09-14T14:41:40Z
57,04126b6997f1759c452040f3086407254b43d61e,jabrena,https://github.com/jabrena/cursor-rules-java/pull/137,35f837c8b216c944cef6ca5e2863bfdb39110361,cursoragent,https://github.com/jabrena/cursor-rules-java/pull/118,,2009-11-01T00:29:46Z
20,601602acee44f797d1528b2116d51ff9b908bdb3,ianmacartney,https://github.com/get-convex/convex-helpers/pull/560,674fe5dd2d1c04743093f2cd49d1dfadfad9d196,devin-ai-integration[bot],https://github.com/get-convex/convex-helpers/pull/560,sessions.spec.ts,2010-08-17T02:37:33Z
44,5916f77464da7a5a06eedf1c98a15b34a532d8a5,nickbalestra,https://github.com/sam-goodwin/alchemy/pull/406,683e2430a2988c4cb2ce0b0ae0a843862c09b8d0,devin-ai-integration[bot],https://github.com/sam-goodwin/alchemy/pull/275,price.spec.ts,2010-09-06T18:19:47Z
38,77ce3c15dd49db65f053819eb10c9363c1ba58da,toyamarinyon,https://github.com/giselles-ai/giselle/pull/1360,0e5de02a58377fc45e7c42f81015e1c7236ca276,cursoragent,https://github.com/giselles-ai/giselle/pull/1306,index.spec.ts,2010-12-24T04:14:40Z
60,e5e06e80143e2708db144ea26c16eb914dd5208f,ottenhoff,https://github.com/sakaiproject/sakai/pull/13875,3e474ced0da0a91f3a228dfc3c9103d0cd902403,cursoragent,https://github.com/sakaiproject/sakai/pull/13875,,2011-05-25T18:52:31Z
43,833236d81ba241dd4d06fcb540f5f2aad73c4069,ltwlf,https://github.com/ltwlf/json-diff-ts/pull/301,c48715c427c6ea65cbc9cabf934861365a97e684,Copilot,https://github.com/ltwlf/json-diff-ts/pull/300,jsonDiff.spec.ts,2011-08-08T08:13:38Z
39,a7878320a5c144afeb772da107d4292eb99f44aa,sklein12,https://github.com/promptfoo/promptfoo/pull/4054,99088b57241f2d29a6bdcbc2fc2094236edc18ba,devin-ai-integration[bot],https://github.com/promptfoo/promptfoo/pull/3327,ResultsView.spec.tsx,2011-09-26T13:10:40Z
46,5695472dffae3292255598e23558adf81917e222,aramalipoor,https://github.com/erpc/erpc/pull/246,cbe94c78e6231bc7c6f0ab1eded22d29d3d8df34,devin-ai-integration[bot],https://github.com/erpc/erpc/pull/243,,2011-11-01T10:29:07Z
22,6df200f00aa7c9354d553840b241d02df2a8ef21,gtg922r,https://github.com/gtg922r/obsidian-numerals/pull/102,5c14c669b97ace97b912ce7b7270eab4a6c1790a,Copilot,https://github.com/gtg922r/obsidian-numerals/pull/102,numeralsUtilities.spec.ts,2011-11-15T00:33:15Z
49,0846ae89f0de29baefdf0b0dbfc1dae77c874f58,myzie,https://github.com/deepnoodle-ai/risor/pull/403,69a64f24fe9c9c7b7a2f5b1564cc7ddbb311f047,cursoragent,https://github.com/deepnoodle-ai/risor/pull/403,,2012-01-29T19:55:30Z
3,bdcce99722b826fe9fe645a928b1f1808c5a7b91,bruno-garcia,https://github.com/getsentry/sentry/pull/95516,d073c3ef7f273090e4cda742ef426ec4840654bb,cursoragent,https://github.com/getsentry/sentry/pull/93946,index.spec.tsx,2012-04-11T14:30:10Z
45,3883e5058145c0f0db5e0807ba49c84a48f1ae58,mfbx9da4,https://github.com/speakeasy-api/speakeasy/pull/1427,b739b4a8f3e1a6dedf4cc2098fa4817544065edd,devin-ai-integration[bot],https://github.com/speakeasy-api/speakeasy/pull/1398,,2012-04-29T19:17:54Z
41,a9bcd2154b7c73a315bdfd47b98c7afeaba8caf6,homanp,https://github.com/superagent-ai/vibekit/pull/15,85d557e1c3da65a922298b06c4a392609a7d49d6,github-actions[bot],https://github.com/superagent-ai/vibekit/pull/15,vibekit.spec.ts,2012-10-01T15:12:04Z
34,c28ab3fa8bf63f6d19937f285bb560b169e2fdf5,elie222,https://github.com/elie222/inbox-zero/pull/494,f3fd9a680ca6339c407a6c9adea0dd821cbef923,cursoragent,https://github.com/elie222/inbox-zero/pull/494,referral-code.spec.ts,2012-12-20T14:33:08Z
52,97b71a4eaf647652e55980b2e9ae1122c9f1bbc1,guillaq,https://github.com/WorkflowAI/WorkflowAI/pull/538,ac0b7451ff5715421a52a6f1e5aaac6e7e5ce741,cursoragent,https://github.com/WorkflowAI/WorkflowAI/pull/538,,2013-03-29T08:35:54Z
21,b3ca7ae6a2678d58f1290c0a0d3c860b7cf969d3,haydenbleasel,https://github.com/haydenbleasel/ultracite/pull/198,82b5d57d2892f19d78a224ffadd41040563957cb,Copilot,https://github.com/haydenbleasel/ultracite/pull/185,biome.spec.ts,2013-04-13T03:42:14Z
35,7025f43ed061a2cf95c9c73a5d9b305f5f0e286a,jmoseley,https://github.com/gensx-inc/gensx/pull/837,940c12b772d798bfc9e89f02ba2dbb2341c99af1,cursoragent,https://github.com/gensx-inc/gensx/pull/837,workflow-state.spec.ts,2013-05-09T00:23:52Z
23,234bc23cd1a0ccf998d5e75b3974631685a646a4,six7,https://github.com/tokens-studio/figma-plugin/pull/3389,99cc549c41824c6436042065e5350a62b8d3d1d5,Copilot,https://github.com/tokens-studio/figma-plugin/pull/3389,TokenSetSelector.spec.tsx,2013-05-28T11:01:54Z
0,4f5f0adf9add78ba117413ca5f56127a53dbe540,steebchen,https://github.com/theopenco/llmgateway/pull/208,39c08ae33db1140ecd9da1cef30da9a59ebf823a,devin-ai-integration[bot],https://github.com/theopenco/llmgateway/pull/96,activity.spec.ts,2013-07-15T14:44:04Z
33,69dc7ead39e30b062a46902a3e48d76524272068,olliethedev,https://github.com/olliethedev/ui-builder/pull/28,f7dbf3fbf7250bf4a384414bcf8d306561c7280f,cursoragent,https://github.com/olliethedev/ui-builder/pull/28,dnd-context.spec.tsx,2013-11-13T22:14:32Z
56,052cf2215dee8486cb7e72b1f6be929fab358b69,cleptric,https://github.com/getsentry/sentry-php/pull/1862,adf75fd9a64ab52ff4b16ac262bebfa88e595a51,cursoragent,https://github.com/getsentry/sentry-php/pull/1862,,2014-02-07T16:28:37Z
